일자,subway_total,actual_usage,weekday_num,요일
2023-01-01,20689,4854,6,일요일
2023-01-02,85143,3731,0,월요일
2023-01-03,86429,3669,1,화요일
2023-01-04,87436,3772,2,수요일
2023-01-05,89239,3481,3,목요일
2023-01-06,88417,3461,4,금요일
2023-01-07,42339,2017,5,토요일
2023-01-08,32760,3873,6,일요일
2023-01-09,88462,3711,0,월요일
2023-01-10,90481,4039,1,화요일
2023-01-11,90992,3942,2,수요일
2023-01-12,92643,3834,3,목요일
2023-01-13,88894,3367,4,금요일
2023-01-14,42525,2356,5,토요일
2023-01-15,30819,2718,6,일요일
2023-01-16,89518,3542,0,월요일
2023-01-17,89922,4001,1,화요일
2023-01-18,91351,3740,2,수요일
2023-01-19,89057,3563,3,목요일
2023-01-20,80968,2672,4,금요일
2023-01-21,14530,776,5,토요일
2023-01-22,12553,1501,6,일요일
2023-01-23,28441,1108,0,월요일
2023-01-24,22840,1353,1,화요일
2023-01-25,79266,3319,2,수요일
2023-01-26,95491,2434,3,목요일
2023-01-27,91869,3672,4,금요일
2023-01-28,42015,2556,5,토요일
2023-01-29,33022,3709,6,일요일
2023-01-30,90102,3441,0,월요일
2023-01-31,90623,3119,1,화요일
2023-02-01,90736,3352,2,수요일
2023-02-02,90651,3547,3,목요일
2023-02-03,91805,3759,4,금요일
2023-02-04,44468,3397,5,토요일
2023-02-05,33992,4302,6,일요일
2023-02-06,90758,2010,0,월요일
2023-02-07,92213,3777,1,화요일
2023-02-08,92062,3848,2,수요일
2023-02-09,91400,4079,3,목요일
2023-02-10,91226,4220,4,금요일
2023-02-11,47323,3925,5,토요일
2023-02-12,38657,4900,6,일요일
2023-02-13,91053,3988,0,월요일
2023-02-14,94527,3954,1,화요일
2023-02-15,92956,4042,2,수요일
2023-02-16,91885,3814,3,목요일
2023-02-17,91805,4182,4,금요일
2023-02-18,46954,3662,5,토요일
2023-02-19,36734,4834,6,일요일
2023-02-20,89550,3807,0,월요일
2023-02-21,91693,3856,1,화요일
2023-02-22,92410,3969,2,수요일
2023-02-23,93843,4025,3,목요일
2023-02-24,95621,4467,4,금요일
2023-02-25,53305,4070,5,토요일
2023-02-26,48803,6484,6,일요일
2023-02-27,95503,4413,0,월요일
2023-02-28,97220,4561,1,화요일
2023-03-01,45044,4114,2,수요일
2023-03-02,88028,3774,3,목요일
2023-03-03,92302,4376,4,금요일
2023-03-04,54834,5555,5,토요일
2023-03-05,45695,7074,6,일요일
2023-03-06,93030,4687,0,월요일
2023-03-07,94406,4865,1,화요일
2023-03-08,92169,4387,2,수요일
2023-03-09,92341,3946,3,목요일
2023-03-10,102755,5844,4,금요일
2023-03-11,76724,8284,5,토요일
2023-03-12,32234,4204,6,일요일
2023-03-13,89027,4012,0,월요일
2023-03-14,94074,4893,1,화요일
2023-03-15,91246,4285,2,수요일
2023-03-16,91483,4067,3,목요일
2023-03-17,95134,4778,4,금요일
2023-03-18,65196,7129,5,토요일
2023-03-19,51471,7474,6,일요일
2023-03-20,88954,4535,0,월요일
2023-03-21,99332,5470,1,화요일
2023-03-22,99086,5859,2,수요일
2023-03-23,99356,5762,3,목요일
2023-03-24,103315,6153,4,금요일
2023-03-25,81815,8699,5,토요일
2023-03-26,67776,10273,6,일요일
2023-03-27,97868,6051,0,월요일
2023-03-28,102712,6500,1,화요일
2023-03-29,110810,8336,2,수요일
2023-03-30,120504,9682,3,목요일
2023-03-31,146227,10470,4,금요일
2023-04-01,169701,13036,5,토요일
2023-04-02,145833,13003,6,일요일
2023-04-03,142125,10054,0,월요일
2023-04-04,110997,7036,1,화요일
2023-04-05,90378,3522,2,수요일
2023-04-06,94174,3996,3,목요일
2023-04-07,107245,5797,4,금요일
2023-04-08,82599,7421,5,토요일
2023-04-09,65518,9193,6,일요일
2023-04-10,95079,5420,0,월요일
2023-04-11,88509,3700,1,화요일
2023-04-12,96198,4444,2,수요일
2023-04-13,95031,4505,3,목요일
2023-04-14,93752,5448,4,금요일
2023-04-15,56060,5866,5,토요일
2023-04-16,42623,6442,6,일요일
2023-04-17,87162,4685,0,월요일
2023-04-18,91830,4358,1,화요일
2023-04-19,100766,6652,2,수요일
2023-04-20,90749,4663,3,목요일
2023-04-21,99535,6441,4,금요일
2023-04-22,65984,7839,5,토요일
2023-04-23,74757,9091,6,일요일
2023-04-24,92339,5063,0,월요일
2023-04-25,88701,3623,1,화요일
2023-04-26,96173,4173,2,수요일
2023-04-27,103029,5306,3,목요일
2023-04-28,109310,5484,4,금요일
2023-04-29,49364,3679,5,토요일
2023-04-30,64689,7212,6,일요일
2023-05-01,65446,7339,0,월요일
2023-05-02,101671,5330,1,화요일
2023-05-03,106666,5904,2,수요일
2023-05-04,102553,4957,3,목요일
2023-05-05,36520,2709,4,금요일
2023-05-06,43093,3657,5,토요일
2023-05-07,45405,6755,6,일요일
2023-05-08,93199,5010,0,월요일
2023-05-09,96683,5432,1,화요일
2023-05-10,97997,5524,2,수요일
2023-05-11,101124,5646,3,목요일
2023-05-12,113633,6752,4,금요일
2023-05-13,80571,8445,5,토요일
2023-05-14,64269,10060,6,일요일
2023-05-15,98711,5766,0,월요일
2023-05-16,98152,5640,1,화요일
2023-05-17,100587,5866,2,수요일
2023-05-18,94031,4822,3,목요일
2023-05-19,109506,6768,4,금요일
2023-05-20,87055,9297,5,토요일
2023-05-21,53820,8275,6,일요일
2023-05-22,89317,5072,0,월요일
2023-05-23,99462,5657,1,화요일
2023-05-24,97758,5534,2,수요일
2023-05-25,98658,5743,3,목요일
2023-05-26,99082,6021,4,금요일
2023-05-27,45474,3288,5,토요일
2023-05-28,37496,3474,6,일요일
2023-05-29,44939,6711,0,월요일
2023-05-30,92461,5213,1,화요일
2023-05-31,95556,5390,2,수요일
2023-06-01,94728,5180,3,목요일
2023-06-02,98419,6116,4,금요일
2023-06-03,71825,379,5,토요일
2023-06-05,91592,5138,0,월요일
2023-06-06,51784,8180,1,화요일
2023-06-07,91026,4902,2,수요일
2023-06-08,90973,4248,3,목요일
2023-06-09,98748,5991,4,금요일
2023-06-10,53804,6537,5,토요일
2023-06-11,41835,7644,6,일요일
2023-06-12,91790,4704,0,월요일
2023-06-13,95492,5500,1,화요일
2023-06-14,94847,5228,2,수요일
2023-06-15,97669,5683,3,목요일
2023-06-16,102196,6576,4,금요일
2023-06-17,105264,4936,5,토요일
2023-06-18,45575,8972,6,일요일
2023-06-19,87909,5058,0,월요일
2023-06-20,95587,4529,1,화요일
2023-06-21,94511,4136,2,수요일
2023-06-22,101476,5457,3,목요일
2023-06-23,103653,6210,4,금요일
2023-06-24,67635,8235,5,토요일
2023-06-25,44267,8523,6,일요일
2023-06-26,89510,3589,0,월요일
2023-06-27,97670,4992,1,화요일
2023-06-28,95847,4927,2,수요일
2023-06-29,90879,3249,3,목요일
2023-06-30,98212,5238,4,금요일
2023-07-01,59775,7423,5,토요일
2023-07-02,41081,7818,6,일요일
2023-07-03,93281,4705,0,월요일
2023-07-04,92119,3404,1,화요일
2023-07-05,97240,4967,2,수요일
2023-07-06,98919,4985,3,목요일
2023-07-07,101459,6112,4,금요일
2023-07-08,61707,7389,5,토요일
2023-07-09,34777,5458,6,일요일
2023-07-10,92319,4500,0,월요일
2023-07-11,90719,2079,1,화요일
2023-07-12,93051,4602,2,수요일
2023-07-13,89997,2841,3,목요일
2023-07-14,89548,738,4,금요일
2023-07-15,44724,1,5,토요일
2023-07-17,85541,1289,0,월요일
2023-07-18,92651,3794,1,화요일
2023-07-19,96603,4479,2,수요일
2023-07-20,99440,4765,3,목요일
2023-07-21,97540,5199,4,금요일
2023-07-22,46912,3811,5,토요일
2023-07-23,32067,2985,6,일요일
2023-07-24,92180,4369,0,월요일
2023-07-25,93321,4403,1,화요일
2023-07-26,99429,4773,2,수요일
2023-07-27,100107,5153,3,목요일
2023-07-28,99049,5705,4,금요일
2023-07-29,59405,6749,5,토요일
2023-07-30,45152,5552,6,일요일
2023-07-31,99148,5447,0,월요일
2023-08-01,99934,5714,1,화요일
2023-08-02,98013,5713,2,수요일
2023-08-03,97243,5546,3,목요일
2023-08-04,94420,6156,4,금요일
2023-08-05,54241,6297,5,토요일
2023-08-06,36492,6312,6,일요일
2023-08-07,81990,4599,0,월요일
2023-08-08,95363,5394,1,화요일
2023-08-09,92515,2573,2,수요일
2023-08-10,79258,1975,3,목요일
2023-08-11,85723,3289,4,금요일
2023-08-12,52640,5911,5,토요일
2023-08-13,46389,8320,6,일요일
2023-08-14,87134,6502,0,월요일
2023-08-15,45555,6767,1,화요일
2023-08-16,92623,5052,2,수요일
2023-08-17,95260,4944,3,목요일
2023-08-18,94401,5587,4,금요일
2023-08-19,59662,6909,5,토요일
2023-08-20,41388,7287,6,일요일
2023-08-21,90042,4533,0,월요일
2023-08-22,89416,3596,1,화요일
2023-08-23,88952,3185,2,수요일
2023-08-24,91641,4433,3,목요일
2023-08-25,97853,6080,4,금요일
2023-08-26,62722,7469,5,토요일
2023-08-27,44283,7323,6,일요일
2023-08-28,88146,3644,0,월요일
2023-08-29,90109,3601,1,화요일
2023-08-30,92279,4261,2,수요일
2023-08-31,97761,6211,3,목요일
2023-09-01,104541,7147,4,금요일
2023-09-02,96060,9070,5,토요일
2023-09-03,44435,8257,6,일요일
2023-09-04,97445,5180,0,월요일
2023-09-05,95217,4971,1,화요일
2023-09-06,97355,5580,2,수요일
2023-09-07,97991,5456,3,목요일
2023-09-08,106962,7278,4,금요일
2023-09-09,74562,8681,5,토요일
2023-09-10,52408,8787,6,일요일
2023-09-11,94647,5154,0,월요일
2023-09-12,96727,5124,1,화요일
2023-09-13,93706,3687,2,수요일
2023-09-14,97491,5312,3,목요일
2023-09-15,96527,2989,4,금요일
2023-09-16,69488,5418,5,토요일
2023-09-17,51439,8070,6,일요일
2023-09-18,95108,5496,0,월요일
2023-09-19,95151,5283,1,화요일
2023-09-20,91613,3694,2,수요일
2023-09-21,100520,5505,3,목요일
2023-09-22,110083,7349,4,금요일
2023-09-23,98483,9348,5,토요일
2023-09-24,74166,10228,6,일요일
2023-09-25,94562,4416,0,월요일
2023-09-26,92149,3336,1,화요일
2023-09-27,88028,4914,2,수요일
2023-09-28,34821,9023,3,목요일
2023-09-29,38736,9531,4,금요일
2023-09-30,52678,8652,5,토요일
2023-10-01,67529,9880,6,일요일
2023-10-02,70346,9178,0,월요일
2023-10-03,56247,7932,1,화요일
2023-10-04,89152,4467,2,수요일
2023-10-05,96138,5581,3,목요일
2023-10-06,102037,5455,4,금요일
2023-10-07,216260,3961,5,토요일
2023-10-08,57154,8832,6,일요일
2023-10-09,48566,6753,0,월요일
2023-10-10,94930,4981,1,화요일
2023-10-11,100166,5039,2,수요일
2023-10-12,99951,4933,3,목요일
2023-10-13,105956,5918,4,금요일
2023-10-14,65804,6502,5,토요일
2023-10-15,75452,9658,6,일요일
2023-10-16,89575,5010,0,월요일
2023-10-17,96786,4667,1,화요일
2023-10-18,96715,4772,2,수요일
2023-10-19,95711,4187,3,목요일
2023-10-20,106512,5046,4,금요일
2023-10-21,85866,8104,5,토요일
2023-10-22,59686,8295,6,일요일
2023-10-23,93910,4399,0,월요일
2023-10-24,94283,4460,1,화요일
2023-10-25,96016,4832,2,수요일
2023-10-26,97090,4469,3,목요일
2023-10-27,103334,5666,4,금요일
2023-10-28,71638,7330,5,토요일
2023-10-29,51845,7822,6,일요일
2023-10-30,91148,4411,0,월요일
2023-10-31,93914,4493,1,화요일
2023-11-01,94568,4363,2,수요일
2023-11-02,99234,4908,3,목요일
2023-11-03,97910,4617,4,금요일
2023-11-04,69997,7452,5,토요일
2023-11-05,48119,4712,6,일요일
2023-11-06,91643,3095,0,월요일
2023-11-07,94125,3706,1,화요일
2023-11-08,95506,3901,2,수요일
2023-11-09,94777,3758,3,목요일
2023-11-10,95938,4001,4,금요일
2023-11-11,70219,3889,5,토요일
2023-11-12,43139,3876,6,일요일
2023-11-13,84927,3372,0,월요일
2023-11-14,96570,3621,1,화요일
2023-11-15,98145,3748,2,수요일
2023-11-16,98243,3185,3,목요일
2023-11-17,99500,3541,4,금요일
2023-11-18,62077,3506,5,토요일
2023-11-19,43650,4476,6,일요일
2023-11-20,95458,3556,0,월요일
2023-11-21,95880,3883,1,화요일
2023-11-22,96852,3844,2,수요일
2023-11-23,97346,3506,3,목요일
2023-11-24,97619,3586,4,금요일
2023-11-25,53644,2665,5,토요일
2023-11-26,41469,4185,6,일요일
2023-11-27,92321,3069,0,월요일
2023-11-28,95320,3315,1,화요일
2023-11-29,95467,3279,2,수요일
2023-11-30,95460,3252,3,목요일
2023-12-01,96044,3441,4,금요일
2023-12-02,57334,3810,5,토요일
2023-12-03,38152,3767,6,일요일
2023-12-04,91885,3318,0,월요일
2023-12-05,94750,3537,1,화요일
2023-12-06,94137,3191,2,수요일
2023-12-07,95128,3423,3,목요일
2023-12-08,98214,4085,4,금요일
2023-12-09,56613,4348,5,토요일
2023-12-10,43046,5937,6,일요일
2023-12-11,92483,2865,0,월요일
2023-12-12,95836,3506,1,화요일
2023-12-13,97160,3676,2,수요일
2023-12-14,97883,3016,3,목요일
2023-12-15,98121,2951,4,금요일
2023-12-16,56850,1882,5,토요일
2023-12-17,38429,2725,6,일요일
2023-12-18,94167,2987,0,월요일
2023-12-19,98469,3169,1,화요일
2023-12-20,100147,2678,2,수요일
2023-12-21,97964,2901,3,목요일
2023-12-22,97287,3170,4,금요일
2023-12-23,53021,5211,5,토요일
2023-12-24,56242,4648,6,일요일
2023-12-25,55995,4235,0,월요일
2023-12-26,88715,3328,1,화요일
2023-12-27,91342,3368,2,수요일
2023-12-28,90140,3288,3,목요일
2023-12-29,83987,3784,4,금요일
2023-12-30,46850,2221,5,토요일
2023-12-31,41311,4562,6,일요일
